threshold,accuracy,f1,recall,precision,roc_auc
0.1,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.11,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.12,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.13,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.14,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.15,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.16,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.17,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.18,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.19,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.2,0.2275,0.37067209775967414,1.0,0.2275,0.6252632660399652
0.21,0.22666666666666666,0.3695652173913043,0.9963369963369964,0.2268557130942452,0.6252632660399652
0.22,0.22666666666666666,0.3695652173913043,0.9963369963369964,0.2268557130942452,0.6252632660399652
0.23,0.22833333333333333,0.37006802721088433,0.9963369963369964,0.227234753550543,0.6252632660399652
0.24,0.23333333333333334,0.37158469945355194,0.9963369963369964,0.22837951301427373,0.6252632660399652
0.25,0.23333333333333334,0.3707250341997264,0.9926739926739927,0.22792262405382674,0.6252632660399652
0.26,0.23666666666666666,0.3700137551581843,0.9853479853479854,0.2277730736663844,0.6252632660399652
0.27,0.245,0.37257617728531855,0.9853479853479854,0.22971818958155424,0.6252632660399652
0.28,0.255,0.3756983240223464,0.9853479853479854,0.23209663503019845,0.6252632660399652
0.29,0.26666666666666666,0.37765205091937765,0.978021978021978,0.23400525854513585,0.6252632660399652
0.3,0.2758333333333333,0.37616654702081836,0.9597069597069597,0.23392857142857143,0.6252632660399652
0.31,0.2816666666666667,0.373546511627907,0.9413919413919414,0.23300090661831369,0.6252632660399652
0.32,0.29333333333333333,0.37370753323485967,0.9267399267399268,0.23404255319148937,0.6252632660399652
0.33,0.315,0.37915407854984895,0.9194139194139194,0.23882017126546146,0.6252632660399652
0.34,0.32916666666666666,0.3821949347659248,0.9120879120879121,0.24174757281553397,0.6252632660399652
0.35,0.3475,0.3839496459480724,0.8937728937728938,0.24448897795591182,0.6252632660399652
0.36,0.36083333333333334,0.38786911412609737,0.8901098901098901,0.2479591836734694,0.6252632660399652
0.37,0.38083333333333336,0.39247751430907607,0.8791208791208791,0.25263157894736843,0.6252632660399652
0.38,0.3975,0.39497907949790795,0.8644688644688645,0.2559652928416486,0.6252632660399652
0.39,0.4166666666666667,0.3955094991364421,0.8388278388278388,0.25875706214689265,0.6252632660399652
0.4,0.4325,0.40105540897097625,0.8351648351648352,0.2638888888888889,0.6252632660399652
0.41,0.44583333333333336,0.4003606853020739,0.8131868131868132,0.26555023923444976,0.6252632660399652
0.42,0.4625,0.40222428174235403,0.7948717948717948,0.2692307692307692,0.6252632660399652
0.43,0.48,0.4068441064638783,0.7838827838827839,0.27471116816431324,0.6252632660399652
0.44,0.5016666666666667,0.4090909090909091,0.7582417582417582,0.28010825439783493,0.6252632660399652
0.45,0.5158333333333334,0.4053224155578301,0.7252747252747253,0.28125,0.6252632660399652
0.46,0.5316666666666666,0.4021276595744681,0.6923076923076923,0.28335832083958024,0.6252632660399652
0.47,0.5475,0.4013230429988975,0.6666666666666666,0.2870662460567823,0.6252632660399652
0.48,0.5583333333333333,0.3949771689497717,0.6336996336996337,0.28689883913764513,0.6252632660399652
0.49,0.5725,0.39001189060642094,0.6007326007326007,0.2887323943661972,0.6252632660399652
0.5,0.5916666666666667,0.3920595533498759,0.5787545787545788,0.2964352720450281,0.6252632660399652
0.51,0.6208333333333333,0.4021024967148489,0.5604395604395604,0.3135245901639344,0.6252632660399652
0.52,0.6366666666666667,0.3961218836565097,0.5238095238095238,0.3184855233853007,0.6252632660399652
0.53,0.6466666666666666,0.38904899135446686,0.4945054945054945,0.32066508313539194,0.6252632660399652
0.54,0.6558333333333334,0.3751891074130106,0.4542124542124542,0.31958762886597936,0.6252632660399652
0.55,0.6691666666666667,0.37083993660855785,0.42857142857142855,0.3268156424581006,0.6252632660399652
0.56,0.6741666666666667,0.35584843492586493,0.3956043956043956,0.32335329341317365,0.6252632660399652
0.57,0.6833333333333333,0.35374149659863946,0.38095238095238093,0.33015873015873015,0.6252632660399652
0.58,0.6925,0.34458259325044405,0.3553113553113553,0.33448275862068966,0.6252632660399652
0.59,0.7033333333333334,0.3358208955223881,0.32967032967032966,0.34220532319391633,0.6252632660399652
0.6,0.7058333333333333,0.32245681381957775,0.3076923076923077,0.3387096774193548,0.6252632660399652
0.61,0.72,0.3170731707317073,0.2857142857142857,0.3561643835616438,0.6252632660399652
0.62,0.7375,0.3225806451612903,0.27472527472527475,0.390625,0.6252632660399652
0.63,0.7441666666666666,0.3131991051454139,0.2564102564102564,0.40229885057471265,0.6252632660399652
0.64,0.7533333333333333,0.3051643192488263,0.23809523809523808,0.42483660130718953,0.6252632660399652
0.65,0.7491666666666666,0.25679012345679014,0.19047619047619047,0.3939393939393939,0.6252632660399652
0.66,0.7566666666666667,0.24352331606217617,0.17216117216117216,0.415929203539823,0.6252632660399652
0.67,0.7508333333333334,0.19839142091152814,0.13553113553113552,0.37,0.6252632660399652
0.68,0.7541666666666667,0.17366946778711484,0.11355311355311355,0.36904761904761907,0.6252632660399652
0.69,0.7625,0.17391304347826086,0.10989010989010989,0.4166666666666667,0.6252632660399652
0.7,0.7633333333333333,0.12883435582822086,0.07692307692307693,0.39622641509433965,0.6252632660399652
